-0.12|0.655999|0.424|-1.512|0.7|-1.172|0.0519995|
-0.12|-0.044001|0.424|-0.212|0.7|0.00799992|0.0519995|
-0.12|-1.364|0.424|0.948|0.7|0.00799992|-1.308|
-0.12|0.655999|0.424|-1.512|0.7|-1.172|0.0519995|
-0.12|-0.044001|0.424|-0.212|0.7|0.00799992|0.0519995|
-0.12|-1.364|0.424|0.948|0.7|0.00799992|-1.308|
-0.12|0.655999|0.424|-1.512|0.7|-1.172|0.0519995|
-0.12|-0.044001|0.424|-0.212|0.7|0.00799992|0.0519995|
-0.12|-1.364|0.424|0.948|0.7|0.00799992|-1.308|
-0.12|0.655999|0.424|-1.512|0.7|-1.172|0.0519995|
-0.12|-0.044001|0.424|-0.212|0.7|0.00799992|0.0519995|
-0.12|-1.364|0.424|0.948|0.7|0.00799992|-1.308|
-0.12|0.655999|0.424|-1.512|0.7|-1.172|0.0519995|
-0.12|-0.044001|0.424|-0.212|0.7|0.00799992|0.0519995|
-0.12|-1.364|0.424|0.948|0.7|0.00799992|-1.308|
-0.12|0.655999|0.424|-1.512|0.7|-1.172|0.0519995|
-0.12|-0.044001|0.424|-0.212|0.7|0.00799992|0.0519995|
-0.12|-1.364|0.424|0.948|0.7|0.00799992|-1.308|
-0.12|0.655999|0.424|-1.512|0.7|-1.172|0.0519995|
-0.12|-0.044001|0.424|-0.212|0.7|0.00799992|0.0519995|
-0.12|-1.364|0.424|0.948|0.7|0.00799992|-1.308|
-0.12|0.655999|0.424|-1.512|0.7|-1.172|0.0519995|
-0.12|-0.044001|0.424|-0.212|0.7|0.00799992|0.0519995|
-0.12|-1.364|0.424|0.948|0.7|0.00799992|-1.308|
-0.12|0.655999|0.424|-1.512|0.7|-1.172|0.0519995|
-0.12|-0.044001|0.424|-0.212|0.7|0.00799992|0.0519995|
-0.12|-1.364|0.424|0.948|0.7|0.00799992|-1.308|
-0.12|0.655999|0.424|-1.512|0.7|-1.172|0.0519995|
-0.12|-0.044001|0.424|-0.212|0.7|0.00799992|0.0519995|
-0.12|-1.364|0.424|0.948|0.7|0.00799992|-1.308|
-0.12|0.655999|0.424|-1.512|0.7|-1.172|0.0519995|
-0.12|-0.044001|0.424|-0.212|0.7|0.00799992|0.0519995|
